,body
26100,"{'label': 'not sexist', 'score': 0.9993574023246765}"
191068,"{'label': 'not sexist', 'score': 0.9993853569030762}"
23258,"{'label': 'not sexist', 'score': 0.9987789988517761}"
338917,"{'label': 'not sexist', 'score': 0.9994159936904907}"
157732,"{'label': 'not sexist', 'score': 0.998375654220581}"
118435,"{'label': 'not sexist', 'score': 0.9986227750778198}"
325004,"{'label': 'not sexist', 'score': 0.9993795156478882}"
243300,"{'label': 'not sexist', 'score': 0.9991286396980286}"
87250,"{'label': 'not sexist', 'score': 0.9991056323051453}"
21229,"{'label': 'not sexist', 'score': 0.9992320537567139}"
78663,"{'label': 'not sexist', 'score': 0.9991862177848816}"
223986,"{'label': 'not sexist', 'score': 0.9986121654510498}"
62898,"{'label': 'not sexist', 'score': 0.9982719421386719}"
17289,"{'label': 'not sexist', 'score': 0.9994351267814636}"
4769,"{'label': 'not sexist', 'score': 0.9995455145835876}"
320313,"{'label': 'not sexist', 'score': 0.9994418025016785}"
334443,
348384,"{'label': 'not sexist', 'score': 0.9991418123245239}"
43721,"{'label': 'not sexist', 'score': 0.9989996552467346}"
358752,"{'label': 'not sexist', 'score': 0.9991751313209534}"
199361,"{'label': 'not sexist', 'score': 0.9986943602561951}"
233460,"{'label': 'not sexist', 'score': 0.9971954822540283}"
49365,"{'label': 'not sexist', 'score': 0.9989405274391174}"
230109,"{'label': 'not sexist', 'score': 0.9986124038696289}"
63798,"{'label': 'not sexist', 'score': 0.9990020394325256}"
23082,"{'label': 'not sexist', 'score': 0.9993046522140503}"
201814,"{'label': 'not sexist', 'score': 0.9967355132102966}"
15732,"{'label': 'not sexist', 'score': 0.9991746544837952}"
64438,"{'label': 'not sexist', 'score': 0.9989262223243713}"
282737,"{'label': 'not sexist', 'score': 0.9991267323493958}"
221693,"{'label': 'not sexist', 'score': 0.9991043210029602}"
208083,"{'label': 'not sexist', 'score': 0.9985866546630859}"
56515,"{'label': 'not sexist', 'score': 0.9990814924240112}"
58128,"{'label': 'not sexist', 'score': 0.9989374279975891}"
109645,"{'label': 'not sexist', 'score': 0.9990763664245605}"
105726,"{'label': 'not sexist', 'score': 0.999009370803833}"
208513,"{'label': 'not sexist', 'score': 0.9980518817901611}"
222790,"{'label': 'not sexist', 'score': 0.9989336133003235}"
193649,"{'label': 'not sexist', 'score': 0.9981124401092529}"
171154,"{'label': 'not sexist', 'score': 0.9995265007019043}"
275077,"{'label': 'not sexist', 'score': 0.9968892931938171}"
302989,"{'label': 'not sexist', 'score': 0.9989643096923828}"
351968,"{'label': 'not sexist', 'score': 0.9994708895683289}"
113185,
260771,"{'label': 'not sexist', 'score': 0.9993224143981934}"
359691,"{'label': 'not sexist', 'score': 0.9992724061012268}"
64246,"{'label': 'not sexist', 'score': 0.9991217255592346}"
30247,"{'label': 'not sexist', 'score': 0.9983383417129517}"
204645,"{'label': 'not sexist', 'score': 0.9862527251243591}"
176475,"{'label': 'not sexist', 'score': 0.9993643164634705}"
295000,"{'label': 'not sexist', 'score': 0.9994109869003296}"
192524,"{'label': 'not sexist', 'score': 0.9987229704856873}"
108695,
349970,"{'label': 'not sexist', 'score': 0.9987969398498535}"
19282,"{'label': 'not sexist', 'score': 0.9984461665153503}"
110585,"{'label': 'not sexist', 'score': 0.9991031885147095}"
39618,"{'label': 'not sexist', 'score': 0.9981365203857422}"
338625,"{'label': 'not sexist', 'score': 0.9994340538978577}"
229035,"{'label': 'not sexist', 'score': 0.9992914199829102}"
300224,"{'label': 'not sexist', 'score': 0.9980250597000122}"
130785,"{'label': 'not sexist', 'score': 0.9989401698112488}"
171619,"{'label': 'not sexist', 'score': 0.9980646967887878}"
43889,"{'label': 'not sexist', 'score': 0.9993211030960083}"
355244,"{'label': 'not sexist', 'score': 0.9990496039390564}"
62847,"{'label': 'not sexist', 'score': 0.9994465708732605}"
340899,"{'label': 'not sexist', 'score': 0.9991081357002258}"
77736,"{'label': 'not sexist', 'score': 0.9986202716827393}"
222721,"{'label': 'not sexist', 'score': 0.9992345571517944}"
300674,"{'label': 'not sexist', 'score': 0.9992491602897644}"
228135,"{'label': 'not sexist', 'score': 0.9994146823883057}"
72036,"{'label': 'not sexist', 'score': 0.9993351101875305}"
127076,"{'label': 'not sexist', 'score': 0.999099612236023}"
30532,"{'label': 'not sexist', 'score': 0.9995887875556946}"
320483,"{'label': 'not sexist', 'score': 0.9987475872039795}"
162978,"{'label': 'not sexist', 'score': 0.9983444213867188}"
43260,"{'label': 'not sexist', 'score': 0.9991323351860046}"
2254,"{'label': 'not sexist', 'score': 0.9992475509643555}"
235282,"{'label': 'not sexist', 'score': 0.9991763234138489}"
256232,"{'label': 'not sexist', 'score': 0.9988110065460205}"
37953,"{'label': 'not sexist', 'score': 0.9992843270301819}"
18288,"{'label': 'not sexist', 'score': 0.9979861974716187}"
49270,"{'label': 'not sexist', 'score': 0.9992247819900513}"
94113,"{'label': 'not sexist', 'score': 0.9994648098945618}"
287560,"{'label': 'not sexist', 'score': 0.9983412027359009}"
274767,"{'label': 'not sexist', 'score': 0.9987867474555969}"
31248,"{'label': 'not sexist', 'score': 0.9990173578262329}"
146908,"{'label': 'not sexist', 'score': 0.9993345141410828}"
105942,"{'label': 'not sexist', 'score': 0.9983162879943848}"
199059,"{'label': 'not sexist', 'score': 0.9540016651153564}"
5656,"{'label': 'not sexist', 'score': 0.9995191097259521}"
49391,"{'label': 'not sexist', 'score': 0.9972904920578003}"
331337,"{'label': 'not sexist', 'score': 0.9992969036102295}"
316204,"{'label': 'not sexist', 'score': 0.9990077614784241}"
115357,"{'label': 'not sexist', 'score': 0.99856036901474}"
323779,"{'label': 'not sexist', 'score': 0.9984545707702637}"
140018,"{'label': 'not sexist', 'score': 0.9990082383155823}"
345309,"{'label': 'not sexist', 'score': 0.9993670582771301}"
110700,"{'label': 'not sexist', 'score': 0.9991317391395569}"
338408,"{'label': 'not sexist', 'score': 0.9992388486862183}"
191698,"{'label': 'not sexist', 'score': 0.9993364214897156}"
222690,"{'label': 'not sexist', 'score': 0.9986116886138916}"
230730,"{'label': 'not sexist', 'score': 0.9992812275886536}"
263903,"{'label': 'not sexist', 'score': 0.9990524649620056}"
65205,"{'label': 'not sexist', 'score': 0.9976499676704407}"
133608,"{'label': 'not sexist', 'score': 0.9988064765930176}"
357913,"{'label': 'not sexist', 'score': 0.9994211196899414}"
144451,"{'label': 'not sexist', 'score': 0.9991317391395569}"
327956,"{'label': 'not sexist', 'score': 0.999128520488739}"
269414,"{'label': 'not sexist', 'score': 0.9989407658576965}"
288521,"{'label': 'not sexist', 'score': 0.9992395639419556}"
261103,"{'label': 'not sexist', 'score': 0.9986170530319214}"
219181,"{'label': 'not sexist', 'score': 0.9993565678596497}"
345591,"{'label': 'not sexist', 'score': 0.9988988637924194}"
9488,"{'label': 'not sexist', 'score': 0.9993335604667664}"
333178,"{'label': 'not sexist', 'score': 0.9993475079536438}"
104798,"{'label': 'not sexist', 'score': 0.9991828799247742}"
102365,"{'label': 'not sexist', 'score': 0.9990614056587219}"
336374,"{'label': 'not sexist', 'score': 0.9995446801185608}"
120630,"{'label': 'not sexist', 'score': 0.998563826084137}"
194822,"{'label': 'not sexist', 'score': 0.9985727071762085}"
251952,"{'label': 'not sexist', 'score': 0.9964522123336792}"
78292,"{'label': 'not sexist', 'score': 0.9992386102676392}"
95943,"{'label': 'not sexist', 'score': 0.9989023208618164}"
45593,"{'label': 'not sexist', 'score': 0.9982717037200928}"
223929,"{'label': 'not sexist', 'score': 0.9990884065628052}"
85615,"{'label': 'not sexist', 'score': 0.9986876845359802}"
337512,"{'label': 'not sexist', 'score': 0.9973435997962952}"
279453,"{'label': 'not sexist', 'score': 0.998965859413147}"
311855,"{'label': 'not sexist', 'score': 0.9992974996566772}"
241188,"{'label': 'not sexist', 'score': 0.9995229244232178}"
76577,"{'label': 'not sexist', 'score': 0.9991258978843689}"
62705,"{'label': 'not sexist', 'score': 0.9995946288108826}"
269995,"{'label': 'not sexist', 'score': 0.9990519881248474}"
53474,"{'label': 'not sexist', 'score': 0.9990671277046204}"
180496,"{'label': 'not sexist', 'score': 0.9991525411605835}"
52080,
63666,"{'label': 'not sexist', 'score': 0.9989659786224365}"
213311,"{'label': 'not sexist', 'score': 0.9989558458328247}"
110809,"{'label': 'not sexist', 'score': 0.9991866946220398}"
